"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     1809.60","     1817.60","     1789.90","     1794.20","       59060199","          429.62"
"02-Jan-2020","     1777.95","     1807.65","     1760.80","     1800.65","       57610018","          890.67"
"03-Jan-2020","     1799.30","     1799.50","     1755.10","     1760.50","       61569807","          836.88"
"06-Jan-2020","     1763.05","     1763.90","     1712.95","     1717.35","       55486973","          621.33"
"07-Jan-2020","     1728.10","     1753.75","     1721.70","     1735.15","       63218816","          619.40"
"08-Jan-2020","     1716.20","     1729.70","     1706.35","     1726.60","       58790853","          535.29"
"09-Jan-2020","     1749.10","     1772.45","     1747.75","     1767.95","       47531017","          616.83"
"10-Jan-2020","     1773.60","     1796.35","     1760.85","     1770.65","       97948969","         1113.68"
"13-Jan-2020","     1777.25","     1789.05","     1758.95","     1784.80","       55068780","          745.41"
"14-Jan-2020","     1788.60","     1836.25","     1777.55","     1822.20","       81555505","          750.85"
"15-Jan-2020","     1831.20","     1841.95","     1806.25","     1837.00","       45037854","          553.43"
"16-Jan-2020","     1839.80","     1868.75","     1836.65","     1863.50","       58985639","          749.86"
"17-Jan-2020","     1862.20","     1875.80","     1852.95","     1870.10","       56817698","          678.77"
"20-Jan-2020","     1873.35","     1883.40","     1830.25","     1835.70","       45069410","          474.61"
"21-Jan-2020","     1828.60","     1882.30","     1824.10","     1876.50","       81208264","          914.55"
"22-Jan-2020","     1867.95","     1918.50","     1842.30","     1909.00","      128248599","         1761.11"
"23-Jan-2020","     1896.75","     1902.25","     1866.65","     1871.85","       72417849","         1469.04"
"24-Jan-2020","     1871.80","     1907.70","     1870.15","     1889.90","       62421850","          834.75"
"27-Jan-2020","     1886.50","     1904.45","     1875.85","     1882.45","       37106825","          452.15"
"28-Jan-2020","     1884.10","     1893.90","     1854.35","     1861.00","       96934518","          471.83"
"29-Jan-2020","     1870.00","     1880.70","     1859.75","     1868.05","       70384163","          401.28"
"30-Jan-2020","     1868.20","     1870.65","     1839.40","     1845.00","       72330448","          448.41"
"31-Jan-2020","     1853.20","     1861.15","     1824.25","     1835.30","       25330344","          350.28"
"01-Feb-2020","     1828.55","     1828.55","     1750.35","     1755.90","       19208824","          306.03"
"03-Feb-2020","     1760.55","     1787.85","     1757.05","     1779.20","       30673369","          466.99"
"04-Feb-2020","     1792.95","     1827.30","     1768.55","     1782.20","       41633234","          780.59"
"05-Feb-2020","     1794.85","     1797.85","     1745.20","     1764.70","       71055347","         1407.72"
"06-Feb-2020","     1774.75","     1798.15","     1771.25","     1792.35","       52879391","         1010.89"
"07-Feb-2020","     1794.40","     1829.90","     1794.40","     1827.25","       43154234","          882.56"
"10-Feb-2020","     1822.10","     1833.55","     1793.60","     1798.10","       34050725","          652.62"
"11-Feb-2020","     1809.25","     1843.55","     1799.40","     1827.45","       40947751","          891.11"
